DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
OPENJPA,2,66.4200140944327,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.2727272727272727,0.031914893617021274,0.5113008693929111,0.037246038144024204,3.0,8.0,851.0,91.0
OPENJPA,2,66.4200140944327,IBK,NONE,SMOTE,NONE,0.2727272727272727,0.031914893617021274,0.5030156292571768,0.037246038144024204,3.0,8.0,851.0,91.0
OPENJPA,2,66.4200140944327,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.43243243243243246,0.3404255319148936,0.6457657345255493,0.32204224581372415,32.0,42.0,817.0,62.0
OPENJPA,2,66.4200140944327,IBK,NONE,UNDERSAMPLING,NONE,0.43243243243243246,0.3404255319148936,0.6457657345255493,0.32204224581372415,32.0,42.0,817.0,62.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.21568627450980393,0.10377358490566038,0.5295404237377463,0.07659981550445893,11.0,40.0,855.0,95.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.3055555555555556,0.10377358490566038,0.7062453884262675,0.10698089361385756,11.0,25.0,870.0,95.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2602739726027397,0.1792452830188679,0.5594550437440708,0.13782276439649838,19.0,54.0,841.0,87.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.2602739726027397,0.1792452830188679,0.6755981869927269,0.13782276439649838,19.0,54.0,841.0,87.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.16483516483516483,0.14150943396226415,0.5282966164224728,0.06035805626598433,15.0,76.0,819.0,91.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.17647058823529413,0.14150943396226415,0.6864762306313903,0.06935341367780982,15.0,70.0,825.0,91.0
OPENJPA,3,73.92550143266476,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.17873303167420815,0.7452830188679245,0.6698482133445768,0.141705727678061,79.0,363.0,532.0,27.0
