DATASET,TRAINING_RELEASES,TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,NONE,NONE,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,NaN,NaN,1.0,0.0,0.0,21.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,NONE,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,NONE,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,OVERSAMPLING,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,SMOTE,NONE,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.74925550923169,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.0,NaN,NaN,0.0,0.0,13.0,8.0,0.0
STORM,4,98.74925550923169,IBK,NONE,UNDERSAMPLING,NONE,0.0,NaN,NaN,0.0,0.0,13.0,8.0,0.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.47244094488188976,0.32085561497326204,0.6060446906035142,0.23876585680498835,60.0,67.0,549.0,127.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.5128205128205128,0.32085561497326204,0.7479338842975206,0.26254529482815414,60.0,57.0,559.0,127.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5342465753424658,0.41711229946524064,0.6533613445378151,0.3320754716981132,78.0,68.0,548.0,109.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.5652173913043478,0.41711229946524064,0.7443398847142163,0.3518100141858879,78.0,60.0,556.0,109.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.5714285714285714,0.47058823529411764,0.6817226890756303,0.38724118634583093,88.0,66.0,550.0,99.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.6027397260273972,0.47058823529411764,0.7754054100979235,0.4075471698113207,88.0,58.0,558.0,99.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.524390243902439,0.45989304812834225,0.6666348357524828,0.3481817728338405,86.0,78.0,538.0,101.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.524390243902439,0.45989304812834225,0.7375512188346413,0.3481817728338405,86.0,78.0,538.0,101.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.47244094488188976,0.32085561497326204,0.6060446906035142,0.23876585680498835,60.0,67.0,549.0,127.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.5128205128205128,0.32085561497326204,0.7479338842975206,0.26254529482815414,60.0,57.0,559.0,127.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5342465753424658,0.41711229946524064,0.6533613445378151,0.3320754716981132,78.0,68.0,548.0,109.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.5652173913043478,0.41711229946524064,0.7443398847142163,0.3518100141858879,78.0,60.0,556.0,109.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.5714285714285714,0.47058823529411764,0.6817226890756303,0.38724118634583093,88.0,66.0,550.0,99.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.6027397260273972,0.47058823529411764,0.7754054100979235,0.4075471698113207,88.0,58.0,558.0,99.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.524390243902439,0.45989304812834225,0.6666348357524828,0.3481817728338405,86.0,78.0,538.0,101.0
STORM,5,67.6470588235294,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.524390243902439,0.45989304812834225,0.7375512188346413,0.3481817728338405,86.0,78.0,538.0,101.0
STORM,5,67.6470588235294,IBK,NONE,NONE,SENSITIVE_LEARNING,0.46774193548387094,0.31016042780748665,0.6015087853323148,0.22999945907935324,58.0,66.0,550.0,129.0
STORM,5,67.6470588235294,IBK,NONE,NONE,NONE,0.5087719298245614,0.31016042780748665,0.7440273630113202,0.2537437144278057,58.0,56.0,560.0,129.0
STORM,5,67.6470588235294,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.4444444444444444,0.32085561497326204,0.5995511841100076,0.22044829773736507,60.0,75.0,541.0,127.0
STORM,5,67.6470588235294,IBK,NONE,OVERSAMPLING,NONE,0.47244094488188976,0.32085561497326204,0.6967801583443295,0.23876585680498835,60.0,67.0,549.0,127.0
STORM,5,67.6470588235294,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.5357142857142857,0.48128342245989303,0.6773300229182582,0.3676681680938476,90.0,78.0,538.0,97.0
STORM,5,67.6470588235294,IBK,NONE,SMOTE,NONE,0.569620253164557,0.48128342245989303,0.7701142440447253,0.39206581537374446,90.0,68.0,548.0,97.0
STORM,5,67.6470588235294,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.4407894736842105,0.3582887700534759,0.6101508785332315,0.23566065682619117,67.0,85.0,531.0,120.0
STORM,5,67.6470588235294,IBK,NONE,UNDERSAMPLING,NONE,0.4407894736842105,0.3582887700534759,0.7011380998680464,0.23566065682619117,67.0,85.0,531.0,120.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.30177514792899407,0.4811320754716981,0.5700458065219762,0.11614974229134646,102.0,236.0,456.0,110.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.33460076045627374,0.41509433962264153,0.5988146199149308,0.1497131065029192,88.0,175.0,517.0,124.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2482598607888631,0.5047169811320755,0.5182544443232632,0.026878914405010466,107.0,324.0,368.0,105.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.3022508038585209,0.44339622641509435,0.5682837550441706,0.11171860334146803,94.0,217.0,475.0,118.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.3163841807909605,0.5283018867924528,0.5892954520667466,0.14492432958668916,112.0,242.0,450.0,100.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.35125448028673834,0.46226415094339623,0.6145435707274512,0.18087772754079018,98.0,181.0,511.0,114.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25210084033613445,0.5660377358490566,0.5257934343985168,0.03602711554573845,120.0,356.0,336.0,92.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.29705882352941176,0.47641509433962265,0.5939033700512597,0.10835061772928131,101.0,239.0,453.0,111.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.30177514792899407,0.4811320754716981,0.5700458065219762,0.11614974229134646,102.0,236.0,456.0,110.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.33460076045627374,0.41509433962264153,0.5988146199149308,0.1497131065029192,88.0,175.0,517.0,124.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.2482598607888631,0.5047169811320755,0.5182544443232632,0.026878914405010466,107.0,324.0,368.0,105.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.3022508038585209,0.44339622641509435,0.5682837550441706,0.11171860334146803,94.0,217.0,475.0,118.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.3163841807909605,0.5283018867924528,0.5892954520667466,0.14492432958668916,112.0,242.0,450.0,100.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.35125448028673834,0.46226415094339623,0.6145435707274512,0.18087772754079018,98.0,181.0,511.0,114.0
STORM,6,73.30183106910809,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.25210084033613445,0.5660377358490566,0.5257934343985168,0.03602711554573845,120.0,356.0,336.0,92.0
