@relation OPENJPA_TRAINING_16.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
139,139,139,69.5,0,0,69.5,139,139,69.5,0,2,1,False
163,163,163,81.5,0,0,81.5,163,163,81.5,0,2,1,False
60,60,60,30.0,0,0,30.0,60,60,30.0,0,2,1,False
231,231,231,115.5,0,0,115.5,231,231,115.5,0,2,1,False
606,608,608,202.66666666666666,2,2,202.66666666666666,610,608,203.33333333333334,0,3,1,True
135,135,135,67.5,0,0,67.5,135,135,67.5,0,2,1,False
34,35,35,17.5,0,0,17.5,35,35,17.5,0,2,1,False
160,160,160,80.0,0,0,80.0,160,160,80.0,0,2,1,False
2053,2056,2053,685.3333333333334,3,3,685.3333333333334,2053,2053,684.3333333333334,0,3,2,False
93,93,93,46.5,0,0,46.5,93,93,46.5,0,2,1,False
149,149,149,74.5,0,0,74.5,149,149,74.5,0,2,1,True
131,131,131,65.5,0,0,65.5,131,131,65.5,0,2,1,False
67,67,67,33.5,0,0,33.5,67,67,33.5,0,2,1,False
99,101,99,33.666666666666664,2,2,33.666666666666664,99,99,33.0,0,3,2,False
265,269,265,89.66666666666667,4,4,89.66666666666667,265,265,88.33333333333333,0,3,2,False
534,537,536,179.0,3,3,179.0,538,536,179.33333333333334,0,3,1,False
318,318,318,159.0,0,0,159.0,318,318,159.0,0,2,1,False
365,365,365,182.5,0,0,182.5,365,365,182.5,0,2,1,True
86,90,90,30.0,4,4,30.0,94,90,31.333333333333332,0,3,1,False
74,74,74,37.0,0,0,37.0,74,74,37.0,0,2,1,True
79,79,79,39.5,0,0,39.5,79,79,39.5,0,2,1,False
89,91,89,30.333333333333332,2,2,30.333333333333332,89,89,29.666666666666668,0,3,2,False
173,183,174,61.0,10,10,61.0,175,174,58.333333333333336,0,3,2,False
78,78,78,39.0,0,0,39.0,78,78,39.0,0,2,1,False
58,60,58,20.0,2,2,20.0,58,58,19.333333333333332,0,3,2,False
67,67,67,33.5,0,0,33.5,67,67,33.5,0,2,1,True
48,48,48,24.0,0,0,24.0,48,48,24.0,0,2,1,False
59,59,59,29.5,0,0,29.5,59,59,29.5,0,2,1,False
80,80,80,40.0,0,0,40.0,80,80,40.0,0,2,1,False
63,63,63,31.5,0,0,31.5,63,63,31.5,0,2,1,False
123,124,123,41.333333333333336,1,1,41.333333333333336,123,123,41.0,0,3,1,False
48,48,48,24.0,0,0,24.0,48,48,24.0,0,2,1,False
262,262,262,131.0,0,0,131.0,262,262,131.0,0,2,1,False
130,131,124,43.666666666666664,1,1,43.666666666666664,130,124,43.333333333333336,0,3,2,False
1571,1584,1573,528.0,13,13,528.0,1575,1573,525.0,0,3,2,False
169,173,169,57.666666666666664,4,4,57.666666666666664,169,169,56.333333333333336,0,3,2,False
92,92,92,46.0,0,0,46.0,92,92,46.0,0,2,1,False
65,65,65,32.5,0,0,32.5,65,65,32.5,0,2,1,False
133,133,133,66.5,0,0,66.5,133,133,66.5,0,2,1,False
399,412,401,137.33333333333334,13,13,137.33333333333334,403,401,134.33333333333334,0,3,2,False
254,264,255,88.0,10,10,88.0,256,255,85.33333333333333,0,3,2,False
257,261,258,87.0,4,4,87.0,259,258,86.33333333333333,0,3,2,False
83,83,83,41.5,0,0,41.5,83,83,41.5,0,2,1,False
95,95,95,47.5,0,0,47.5,95,95,47.5,0,2,1,False
145,148,144,49.333333333333336,3,3,49.333333333333336,145,144,48.333333333333336,0,3,2,False
96,99,96,33.0,3,3,33.0,96,96,32.0,0,3,2,False
149,156,149,52.0,7,7,52.0,149,149,49.666666666666664,0,3,2,False
230,241,234,80.33333333333333,10,10,80.33333333333333,237,234,79.0,0,3,2,False
421,444,430,148.0,22,22,148.0,438,430,146.0,0,3,2,False
174,183,175,61.0,9,9,61.0,176,175,58.666666666666664,0,3,2,False
104,104,104,52.0,0,0,52.0,104,104,52.0,0,2,1,False
93,93,93,46.5,0,0,46.5,93,93,46.5,0,2,1,False
110,110,110,55.0,0,0,55.0,110,110,55.0,0,2,1,False
80,80,80,40.0,0,0,40.0,80,80,40.0,0,2,1,False
258,264,260,88.0,6,6,88.0,262,260,87.33333333333333,0,3,2,False
86,86,86,43.0,0,0,43.0,86,86,43.0,0,2,1,False
55,55,55,27.5,0,0,27.5,55,55,27.5,0,2,1,False
51,51,51,25.5,0,0,25.5,51,51,25.5,0,2,1,False
52,52,52,26.0,0,0,26.0,52,52,26.0,0,2,1,False
60,60,60,30.0,0,0,30.0,60,60,30.0,0,2,1,True
46,46,46,23.0,0,0,23.0,46,46,23.0,0,2,1,False
81,81,81,40.5,0,0,40.5,81,81,40.5,0,2,1,False
399,404,400,134.66666666666666,5,5,134.66666666666666,401,400,133.66666666666666,0,3,2,False
84,85,85,42.5,0,0,42.5,85,85,42.5,0,2,1,False
94,99,94,33.0,5,5,33.0,94,94,31.333333333333332,0,3,2,False
93,98,93,32.666666666666664,5,5,32.666666666666664,93,93,31.0,0,3,2,False
730,774,731,129.0,44,29,129.0,742,731,123.66666666666667,0,6,2,False
167,181,170,60.333333333333336,14,14,60.333333333333336,173,170,57.666666666666664,0,3,2,False
167,181,170,60.333333333333336,14,14,60.333333333333336,173,170,57.666666666666664,0,3,2,False
207,207,207,103.5,0,0,103.5,207,207,103.5,0,2,1,True
311,322,309,80.5,11,6,80.5,311,309,77.75,0,4,2,False
267,288,276,57.6,21,11,57.6,289,276,57.8,0,5,2,False
321,321,321,160.5,0,0,160.5,321,321,160.5,0,2,1,False
518,553,527,184.33333333333334,35,35,184.33333333333334,536,527,178.66666666666666,0,3,2,False
256,261,257,87.0,5,5,87.0,258,257,86.0,0,3,2,False
162,165,161,55.0,3,3,55.0,162,161,54.0,0,3,2,False
61,65,62,21.666666666666668,4,4,21.666666666666668,63,62,21.0,0,3,2,False
48,48,48,24.0,0,0,24.0,48,48,24.0,0,2,1,True
43,43,43,21.5,0,0,21.5,43,43,21.5,0,2,1,True
119,122,119,40.666666666666664,3,3,40.666666666666664,119,119,39.666666666666664,0,3,2,False
129,130,129,43.333333333333336,1,1,43.333333333333336,129,129,43.0,0,3,1,False
151,151,151,75.5,0,0,75.5,151,151,75.5,0,2,1,False
707,707,707,353.5,0,0,353.5,707,707,353.5,0,2,1,False
287,287,287,143.5,0,0,143.5,287,287,143.5,0,2,1,False
185,185,185,92.5,0,0,92.5,185,185,92.5,0,2,1,False
278,281,281,93.66666666666667,3,3,93.66666666666667,284,281,94.66666666666667,0,3,1,False
63,64,64,32.0,0,0,32.0,64,64,32.0,0,2,1,False
143,143,143,71.5,0,0,71.5,143,143,71.5,0,2,1,False
100,100,100,50.0,0,0,50.0,100,100,50.0,0,2,1,False
684,686,683,228.66666666666666,2,2,228.66666666666666,684,683,228.0,0,3,1,False
82,82,82,41.0,0,0,41.0,82,82,41.0,0,2,1,False
190,190,190,95.0,0,0,95.0,190,190,95.0,0,2,1,False
184,184,184,92.0,0,0,92.0,184,184,92.0,0,2,1,False
74,75,73,25.0,1,1,25.0,74,73,24.666666666666668,0,3,1,False
82,82,82,41.0,0,0,41.0,82,82,41.0,0,2,1,False
39,39,39,19.5,0,0,19.5,39,39,19.5,0,2,1,False
259,259,259,129.5,0,0,129.5,259,259,129.5,0,2,1,False
39,39,39,19.5,0,0,19.5,39,39,19.5,0,2,1,False
944,946,943,315.3333333333333,2,2,315.3333333333333,944,943,314.6666666666667,0,3,1,False
400,401,401,133.66666666666666,1,1,133.66666666666666,402,401,134.0,0,3,1,False
62,62,62,31.0,0,0,31.0,62,62,31.0,0,2,1,False
78,78,78,39.0,0,0,39.0,78,78,39.0,0,2,1,False
1523,1523,1523,761.5,0,0,761.5,1523,1523,761.5,0,2,1,False
232,232,232,116.0,0,0,116.0,232,232,116.0,0,2,1,False
206,209,209,69.66666666666667,3,3,69.66666666666667,212,209,70.66666666666667,0,3,1,False
186,191,180,63.666666666666664,4,4,63.666666666666664,187,180,62.333333333333336,0,3,2,False
689,692,692,230.66666666666666,3,3,230.66666666666666,695,692,231.66666666666666,0,3,1,True
493,493,493,246.5,0,0,246.5,493,493,246.5,0,2,1,False
53,53,53,26.5,0,0,26.5,53,53,26.5,0,2,1,True
