VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,368,173,3.3333333333333335,20,8,3.3333333333333335,348,173,29.0,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,316,147,3.3333333333333335,20,8,3.3333333333333335,296,147,24.666666666666668,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1668,763,123.66666666666667,1484,688,123.66666666666667,2884,763,120.16666666666667,0,12,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,876,209,34.0,408,101,34.0,468,209,19.5,0,12,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,118,54,1.6666666666666667,10,4,1.6666666666666667,108,54,9.0,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,86,38,2.5,10,5,2.5,76,38,9.5,0,4,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,204,98,2.0,8,4,2.0,196,98,24.5,0,4,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,98,38,3.3333333333333335,20,7,3.3333333333333335,78,38,6.5,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,196,94,9.666666666666666,58,25,9.666666666666666,238,94,19.833333333333332,0,6,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,188,94,0.0,0,0,0.0,188,94,47.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,144,72,0.0,0,0,0.0,144,72,36.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,84,42,0.0,0,0,0.0,84,42,21.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,112,48,2.6666666666666665,16,5,2.6666666666666665,96,48,8.0,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,134,63,2.0,8,4,2.0,126,63,15.75,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,514,237,10.0,40,20,10.0,474,237,59.25,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,278,133,2.0,12,5,2.0,266,133,22.166666666666668,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,300,136,3.25,26,10,3.25,274,136,17.125,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,362,176,1.3333333333333333,8,2,1.3333333333333333,354,176,29.5,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,94,46,0.5,2,1,0.5,92,46,11.5,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,274,127,1.8,18,5,1.8,256,127,12.8,0,10,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,304,148,1.0,6,2,1.0,298,148,24.833333333333332,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,118,58,0.5,2,1,0.5,116,58,14.5,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,304,149,1.5,6,3,1.5,298,149,37.25,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,156,74,2.0,8,4,2.0,148,74,18.5,0,4,False
